Year,All items,"All items, less fresh food","All items, less imputed rent","All items, less imputed rent & fresh food","All items, less fresh food and energy","All items, less food (less alcoholic beverages) and energy",Food,Fresh food,"Food, less fresh food",Cereals,Fish & seafood,Fresh fish & seafood (reentry),Meats,Dairy products & eggs,Vegetables & seaweeds,Fresh vegetables (reentry),Fruits,Fresh fruits (reentry),"Oils, fats & seasonings",Cakes & candies,Cooked food,Beverages,Alcoholic beverages,Meals outside the home,Housing,"Housing, less imputed rent",Rent,"Rent, less imputed rent",Repairs & maintenance,"Fuel, light & water charges",Electricity,Gas,Other fuel & light,Water & sewerage charges,Furniture & household utensils,Household durable goods,Interior furnishings,Bedding,Domestic utensils,Domestic non-durable goods,Domestic services,Clothes & footwear,Clothes,Japanese clothing,Clothing,"Shirts, sweaters & underwear",Shirts & sweaters,Underwear,Footwear,Other clothing,Services related to clothing,Medical care,Medicines & health fortification,Medical supplies & appliances,Medical services,Transportation & communication,Public transportation,Private transportation,Communication,Education,School fees,School textbooks & reference books for study,Tutorial fees,Culture & recreation,Recreational durable goods,Recreational goods,Books & other reading materials,Recreational services,Miscellaneous,Personal care services,Toilet articles,Personal effects,Tobacco,Other miscellaneous,Energy,Expenses for education,Expenses for culture & recreation,Expenses for information & communication
1970,31.4,31.7,31.7,32.1,31.5,32.1,29.1,25.1,30.2,33.8,21.2,23,34.5,45.7,24.1,25.9,27.9,27.2,47.9,26.9,24.6,53.4,44.1,23.3,26.9,24.4,29.2,31.4,18.9,30.6,54.9,26.2,18.3,,73.3,211.5,73.4,59.2,28.9,67,18.3,28.3,26.4,22.9,27.9,31.1,29.8,31.1,27.2,38.4,24.2,37.9,49,52.4,27.1,40,19.8,46.5,87.1,15.2,14.2,26.6,,39,2008.3,36.8,18.5,24.5,28.4,15.5,68.2,23.9,20.2,11.7,35.8,,,
1971,33.3,33.8,33.5,34.1,33.6,34.2,30.7,25.4,32,34.4,24.1,26.7,36.1,49.2,23.6,23.1,27.5,26.8,50.4,29.1,26.1,54.6,45.6,25.6,29.3,26.5,31.9,33.9,20.7,31.6,54.8,27,20.4,,76.2,213.4,78.1,62.4,30.9,70.5,19.9,30.8,29.1,26.5,30.3,33.4,32,33.4,29.1,41.1,26.7,38.9,50.5,54.6,27.7,41.5,20.4,48.5,90.5,16.5,15.2,30,,41.9,1964.4,38.3,21.6,26.9,29.6,17.5,69.5,24.9,20.2,11.8,37.3,,,
1972,35.2,35.7,35.2,35.9,35.6,36.3,32.2,26.1,33.9,36.5,25.3,27.9,38.5,51.6,25.7,24.9,26.2,25.4,51.8,30.7,28.4,55.3,45.6,27.7,32.3,28.6,35.2,36.8,22.4,32.2,54.7,28.4,20.6,,77.5,213.8,80.5,63.8,32.2,71.2,21.8,33,31.4,29.8,32.2,35.1,33.7,35.1,31.5,42.9,28.9,42.2,52.2,60.7,30.6,43.2,21.8,49.2,93.7,17.9,16.7,30.3,,43.8,1968.8,41.7,22.4,28.2,30.9,20,69.1,26,20.2,12,37.9,,,
1973,40.7,41.1,40.9,41.5,41,41.3,38.2,32.3,39.7,40.5,30.3,32.7,47.3,59.7,34.3,34.9,29.1,28.4,61.6,35.6,35.8,59.1,49.1,32.8,36.3,33.9,38.3,39.9,29,35,54.7,32.7,24.4,,92.6,250.6,91.1,78.9,39,88.5,23.9,42.1,40.7,39.4,41.3,44.2,43.1,43.4,39.3,50,34.5,41.1,54,66.5,28.8,46.9,23.4,56.2,95.3,20,18.7,34.3,,49.7,2093.8,49,26.3,31.7,33.9,24.7,67.6,30.7,20.2,13.9,42.4,,,
1974,49.1,49.6,49.8,50.6,49.3,48.6,47.3,39.5,49.5,50.8,38.6,41.9,54.8,76.5,39.8,39.6,36,35.2,80.2,49.3,47.9,71,57.2,40.4,41.1,40.5,41.4,42.9,38.3,44.6,64.9,42.7,36.1,,119,335.9,112.7,92.6,52.1,109.6,29.5,49.1,46.9,44.1,48.2,52.6,49.6,53.3,49.4,59.2,42.6,46.6,57.5,91.2,32.7,56.2,27.9,72.5,96.8,24,22.2,42.8,,60.4,2418.2,60.9,36.5,36.3,39.9,33.9,75.1,37.7,20.2,14.9,56.9,,,
1975,54.2,54.7,55,55.6,54.4,53.3,52.8,44,55.1,59.6,42.7,47.1,63.4,79.1,43.4,44,40.9,40.2,87.5,54.3,52.3,79.3,61.8,45.7,45.1,44,45.9,47.1,41.2,48.7,65.3,48.3,40.7,,120,337,114.8,92.3,53.7,106.3,34.2,51.9,50.8,48.1,52.1,53.4,51.8,52.7,51.5,62.1,46.6,50.9,65.7,98.1,35.3,61.6,32.8,76.6,99.3,29.8,28.3,49.3,,67.3,2451.1,64.3,39.5,43.7,45.2,40.3,79.6,41.3,22.7,15.1,61.1,34,,
1976,59.4,59.7,60.1,60.7,59.3,58.8,57.2,50.2,59,66.6,48,55.1,67.2,83.4,46.8,48.2,47.1,46.3,87.5,56.6,55.1,84.6,65.8,50.3,49.7,48.3,50.6,52.1,45,54.8,73.3,52.3,44.6,,123.4,338.9,121.2,96.5,55,109.8,40.4,56.5,56.3,54.1,57.5,57.6,57.3,55.1,55,66,50.2,55.7,68.9,100.8,39.7,69.5,39.1,80.6,120.4,35.3,35.4,49.8,29.6,71.2,2438,69.2,41,47.2,53,46.5,83.8,43,30.1,34.5,66.9,39.3,,
1977,63.5,64,64.2,64.9,63.7,63.4,60.5,52.3,62.5,71.7,57.2,64.2,67.3,83.4,46.2,45.2,47.4,46.5,88.3,58.7,57.8,92.8,67.4,53.5,54.2,52.3,55.4,57.2,47.9,58,78,56.1,45,,127.8,345.2,124.7,102.3,58,112.4,44.5,59.2,58.6,58,59.5,60.3,60.1,57.7,58.8,69.7,53.4,58.6,73.6,107.7,41.3,79.6,44.7,81.5,170.2,39.9,41.2,50.4,33.7,75.8,2442.4,71.8,41.9,52.4,55.8,51.1,91.2,45.1,30.1,37.9,69.8,43.6,,
1978,65.9,66.4,66.4,67.1,66.5,66.6,62.4,54.3,64.4,74.4,59.7,64,66.7,82,48.6,47.8,51.1,50.3,88.5,59.6,59.3,93.9,71.6,55.5,58.3,55.5,60,61.7,50,57,75.1,55.3,42.6,,129.7,349.4,125.1,103.5,59.8,111.5,47.8,61.4,61.2,62.2,61.5,62,62.3,58.6,60.6,72,54.8,63.4,75.4,109.3,46.1,80,48,77.9,170.2,44.7,47.1,52.4,36.4,78.7,2470.9,74.3,44.9,54.2,57.3,54.2,92.6,46.5,30.1,38.5,65.6,47.5,,
1979,69.1,69.3,69.5,70,68.9,69.5,64.6,59.7,65.4,75.9,62.5,68.5,66.5,84.9,57,60.4,49.8,48.9,88.5,60.1,60.1,93.6,72.2,57.4,61.5,59,62.8,64.3,54.1,63.1,78.2,59.6,62.3,,132.9,355.4,127.7,106.4,62.2,114.6,50.1,64.4,64.8,67.7,64.6,64.1,65.3,59.7,63.8,73.9,57,64.6,78.2,110.1,46.8,86.7,52.6,88.3,170.5,48.4,51.7,53,39.6,81.6,2464.3,77,46.4,56.9,59.5,57.6,93.3,51.7,30.1,38.6,76.9,50.9,,
