Year,"All items, less imputed rent"
1946,
1947,6.5
1948,10.9
1949,12.7
1950,12.2
1951,14.4
1952,14.9
1953,16.1
1954,16.7
1955,16.6
1956,16.7
1957,17.2
1958,17.1
1959,17.4
1960,18.1
1961,19.2
1962,20.4
1963,21.9
1964,22.8
1965,24.3
1966,25.4
1967,26.5
1968,27.8
1969,29.6
1970,31.7
1971,33.5
1972,35.2
1973,40.9
1974,49.8
1975,55
1976,60.1
1977,64.2
1978,66.4
1979,69.5
1980,75
1981,78.1
1982,79.9
1983,81.4
1984,83.2
1985,84.8
1986,84.6
1987,84.8
1988,85.3
1989,87.8
1990,90.5
1991,93.1
1992,94.5
1993,95.5
1994,95.7
1995,95.4
1996,95.5
1997,97.6
1998,97.6
1999,97.1
2000,96.3
2001,95.1
2002,94.4
2003,94.2
2004,94.2
2005,93.8
2006,94.1
2007,94.5
2008,95.7
2009,93.9
2010,93.4
2011,93.3
2012,93.1
2013,94.2
2014,97.5
2015,97.8
2016,97.8
2017,98.7
2018,99.6
2019,100.2
2020,99.8
2021,99.9
2022,103.7
